year,month,Complexity,Concentration of conditions,Conditions of affected people,Geographical Impact,Human Impact,INFORM Severity Index,INFORM Severity category,INFORM Severity category (numeric),Impact of the crisis,Last updated,Operating environment,People in need,Reliability,Society and safety,_internal_filter_date,connected_crises,country,country_level,crisis_id,crisis_name,drivers,individual_aggregated,iso3,regional_or_country,regions
2022,1,4.6,4.0,4.5,4.9,4.8,4.6,Very High,5.0,4.8,2022-01-10,5.0,5.0,High,4.0,2022-01-01,"[""AFG005""]","[""Afghanistan""]",Yes,AFG001,Complex crisis in Afghanistan,,Individual,"[""AFG""]",Country,"[""Asia""]"
2022,1,2.6,4.0,3.8,1.7,2.2,3.1,High,4.0,2.0,2021-12-20,2.0,3.6,Very High,3.1,2022-01-01,,"[""Angola""]",Yes,AGO002,Drought in South-West Angola,,Individual,"[""AGO""]",Country,"[""Africa""]"
2022,1,1.4,1.0,1.2,3.5,1.5,1.5,Low,2.0,2.3,2021-10-27,1.0,1.4,High,1.7,2022-01-01,"[""AZE002""]","[""Armenia""]",Yes,ARM002,Nagorno-Karabakh Conflict in Armenia,,Individual,"[""ARM""]",Country,"[""Middle east""]"
2022,1,2.8,,,2.5,3.4,,,,3.1,2021-10-27,2.5,,Very Low,3.1,2022-01-01,"[""ARM002""]","[""Azerbaijan""]",Yes,AZE002,Nagorno-Karabakh conflict in Azerbaijan,,Individual,"[""AZE""]",Country,"[""Middle east""]"
2022,1,3.4,4.0,4.0,4.0,3.8,3.8,High,4.0,3.9,2021-10-29,3.5,4.0,Medium,3.2,2022-01-01,"[""RWA002"", ""TZA002""]","[""Burundi""]",No,BDI001,Climatic shocks in Burundi,,Individual,"[""BDI""]",Country,"[""Africa""]"
2022,1,3.3,5.0,4.3,2.5,4.5,3.9,High,4.0,4.0,2022-01-06,3.5,3.6,High,3.1,2022-01-01,,"[""Burkina Faso""]",Yes,BFA002,Conflict and Climatic Shocks in Burkina Faso,,Individual,"[""BFA""]",Country,"[""Africa""]"
2022,1,2.9,3.0,3.3,0.1,4.3,3.2,High,4.0,3.4,2022-01-24,3.0,3.6,High,2.8,2022-01-01,"[""MMR002"", ""BGD001""]","[""Bangladesh""]",Yes,BGD002,Displacement of Rohingyas to Bangladesh,"[""Conflict"", ""Violence"", ""Displacement""]",Individual,"[""BGD""]",Country,"[""Asia""]"
2022,1,2.3,1.0,1.9,2.9,2.5,2.2,Medium,3.0,2.6,2022-01-11,2.0,2.8,High,2.6,2022-01-01,"[""BRA002"", ""BRA003""]","[""Brazil""]",Yes,BRA001,Country level Brazil,,Aggregated,"[""BRA""]",Country,"[""Americas""]"
2022,1,2.1,3.0,2.8,1.1,2.6,2.5,Medium,3.0,2.2,2021-11-25,1.5,2.6,Medium,2.6,2022-01-01,"[""VEN001""]","[""Brazil""]",No,BRA002,Displacement from Venezuela to Brazil,,Individual,"[""BRA""]",Country,"[""Americas""]"
2022,1,2.3,1.0,1.3,2.9,2.3,1.9,Low,2.0,2.5,2022-01-11,2.0,1.6,High,2.6,2022-01-01,,"[""Brazil""]",No,BRA003,Floods in rainy season 2022,,Individual,"[""BRA""]",Country,"[""Americas""]"
2022,1,4.2,4.0,4.1,4.3,4.5,4.2,Very High,5.0,4.4,2021-10-27,4.5,4.1,Medium,3.8,2022-01-01,,"[""CAR""]",Yes,CAF001,Conflict and Climatic Shocks in CAR,,Individual,"[""CAF""]",Country,"[""Africa""]"
2022,1,4.4,4.0,4.2,4.7,3.7,4.2,Very High,5.0,4.1,2021-11-22,5.0,4.3,High,3.5,2022-01-01,,"[""Cameroon""]",Yes,CMR001,Multiple crises in Cameroon,,Aggregated,"[""CMR""]",Country,"[""Africa""]"
2022,1,3.8,4.0,3.8,1.3,3.5,3.6,High,4.0,2.9,2021-11-22,4.0,3.5,Very High,3.5,2022-01-01,"[""NER002"", ""NGA004"", ""TCD003""]","[""Cameroon""]",No,CMR002,Conflict in Far North region of Cameroon,,Individual,"[""CMR""]",Country,"[""Africa""]"
2022,1,4.1,3.0,3.2,1.7,3.8,3.4,High,4.0,3.2,2021-10-28,4.5,3.3,Medium,3.5,2022-01-01,,"[""Cameroon""]",No,CMR003,Anglophone Crisis in Cameroon,,Individual,"[""CMR""]",Country,"[""Africa""]"
2022,1,3.0,3.0,2.8,1.7,3.2,2.8,Medium,3.0,2.8,2021-10-28,2.5,2.5,Medium,3.5,2022-01-01,,"[""Cameroon""]",No,CMR004,Displacement from CAR to Cameroon,,Individual,"[""CMR""]",Country,"[""Africa""]"
2022,1,4.4,4.0,4.5,4.3,4.8,4.5,Very High,5.0,4.6,2022-01-06,4.5,5.0,Very High,4.3,2022-01-01,,"[""DRC""]",Yes,COD001,Complex crisis in DRC,,Individual,"[""COD""]",Country,"[""Africa""]"
2022,1,3.2,3.0,3.3,4.2,3.3,3.3,High,4.0,3.6,2021-10-28,3.5,3.5,Low,2.8,2022-01-01,,"[""Congo""]",Yes,COG001,Complex crisis in Congo,,Individual,"[""COG""]",Country,"[""Africa""]"
2022,1,3.8,4.0,4.3,5.0,3.3,4.1,Very High,5.0,4.0,2021-10-25,4.5,4.6,High,2.9,2022-01-01,,"[""Colombia""]",No,COL001,Conflict and Climatic Shocks in Colombia,,Individual,"[""COL""]",Country,"[""Americas""]"
