row_id,crisis_year,crisis_month,iso3,country,crisis_id,crisis_name,inform_severity_index,people_in_need,population,percent_affected_pop,people_in_minimal,people_in_stressed,people_in_moderate,people_in_severe,people_in_extreme,total_affected,b2b_ratio,has_hrp,overlooked_crisis,hrp_code,hrp_name,hrp_type_name,hrp_locations,hrp_year,requirements,funding,percent_funding
1,2022,1,AFG,Afghanistan,AFG001,Complex crisis in Afghanistan,4.6,5.0,,,,,,,,,,True,False,HAFG22,Afghanistan Humanitarian Response Plan 2022,Humanitarian response plan,AFG,2022,4442200000.0,3269032938.0,74.0
2,2022,1,AGO,Angola,AGO002,Drought in South-West Angola,3.1,3.6,,,,,,,,,,True,False,RDRCRRP22,Democratic Republic of the Congo Regional Refugee Response Plan 2022,Regional response plan,ZMB | TZA | RWA | UGA | AGO | COG,2022,25050490.0,7069939.0,28.0
3,2022,1,BDI,Burundi,BDI001,Climatic shocks in Burundi,3.8,4.0,,,,,,,,,,True,False,HBDI22,Burundi Plan de Réponse Humanitaire 2022,Humanitarian response plan,BDI,2022,182414025.0,75530712.0,41.0
4,2022,1,BFA,Burkina Faso,BFA002,Conflict and Climatic Shocks in Burkina Faso,3.9,3.6,,,,,,,,,,True,False,HBFA22,Burkina Faso Plan de Réponse Humanitaire 2022,Humanitarian response plan,BFA,2022,805099698.0,355267566.0,44.0
5,2022,1,BGD,Bangladesh,BGD002,Displacement of Rohingyas to Bangladesh,3.2,3.6,,,,,,,,,,True,False,RBGD22,Rohingya Humanitarian Crisis Joint Response Plan 2022,Regional response plan,BGD,2022,881030780.0,619533235.0,70.0
6,2022,1,BRA,Brazil,BRA001,Country level Brazil,2.2,2.8,,,,,,,,,,True,False,RREG22,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,Regional response plan,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,2022,125548197.0,31892778.0,25.0
7,2022,1,BRA,Brazil,BRA002,Displacement from Venezuela to Brazil,2.5,2.6,,,,,,,,,,True,False,RREG22,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,Regional response plan,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,2022,125548197.0,31892778.0,25.0
8,2022,1,BRA,Brazil,BRA003,Floods in rainy season 2022,1.9,1.6,,,,,,,,,,True,False,RREG22,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,Regional response plan,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,2022,125548197.0,31892778.0,25.0
9,2022,1,CAF,CAR,CAF001,Conflict and Climatic Shocks in CAR,4.2,4.1,,,,,,,,,,True,False,HCAF22,République Centrafricaine Plan de Réponse Humanitaire 2022,Humanitarian response plan,CAF,2022,461253975.0,444602691.0,96.0
10,2022,1,CMR,Cameroon,CMR001,Multiple crises in Cameroon,4.2,4.3,,,,,,,,,,True,False,HCMR22,Cameroon Humanitarian Response Plan 2022,Humanitarian response plan,CMR,2022,376046051.0,206649086.0,55.0
11,2022,1,CMR,Cameroon,CMR002,Conflict in Far North region of Cameroon,3.6,3.5,,,,,,,,,,True,False,HCMR22,Cameroon Humanitarian Response Plan 2022,Humanitarian response plan,CMR,2022,376046051.0,206649086.0,55.0
12,2022,1,CMR,Cameroon,CMR003,Anglophone Crisis in Cameroon,3.4,3.3,,,,,,,,,,True,False,HCMR22,Cameroon Humanitarian Response Plan 2022,Humanitarian response plan,CMR,2022,376046051.0,206649086.0,55.0
13,2022,1,CMR,Cameroon,CMR004,Displacement from CAR to Cameroon,2.8,2.5,,,,,,,,,,True,False,HCMR22,Cameroon Humanitarian Response Plan 2022,Humanitarian response plan,CMR,2022,376046051.0,206649086.0,55.0
14,2022,1,COD,DRC,COD001,Complex crisis in DRC,4.5,5.0,,,,,,,,,,True,False,HCOD22,République Démocratique du Congo Plan de Réponse Humanitaire 2022,Humanitarian response plan,COD,2022,1881674597.0,1005134053.0,53.0
15,2022,1,COG,Congo,COG001,Complex crisis in Congo,3.3,3.5,,,,,,,,,,True,False,RDRCRRP22,Democratic Republic of the Congo Regional Refugee Response Plan 2022,Regional response plan,ZMB | TZA | RWA | UGA | AGO | COG,2022,15470197.0,16289288.0,105.0
16,2022,1,COL,Colombia,COL001,Conflict and Climatic Shocks in Colombia,4.1,4.6,,,,,,,,,,True,False,RREG22,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,Regional response plan,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,2022,802903743.0,330009667.0,41.0
17,2022,1,COL,Colombia,COL001,Conflict and Climatic Shocks in Colombia,4.1,4.6,,,,,,,,,,True,False,HCOL22,Colombia Plan de Respuesta Humanitaria 2022,Humanitarian response plan,COL,2022,282854048.0,121924672.0,43.0
