year_month,crisis_id,percent_affected_pop,people_in_minimal,people_in_stressed,people_in_moderate,people_in_severe,people_in_extreme
2022-01,AFG001,100.0,14.1,27.5,36.1,22.2,0.0
2022-01,AGO002,8.3,19.8,30.7,37.6,11.9,0.0
2022-01,ARM002,100.0,95.0,0.6,2.2,0.0,0.0
2022-01,AZE002,58.7,,,,,
2022-01,BDI001,100.0,0.0,81.0,10.1,8.2,0.8
2022-01,BFA002,16.7,2.3,56.8,27.9,5.0,8.1
2022-01,BGD002,1.0,0.0,2.5,97.5,0.0,0.0
2022-01,BRA001,17.9,95.5,1.5,1.3,0.0,0.0
2022-01,BRA002,0.3,41.7,0.3,58.0,0.0,0.0
2022-01,BRA003,17.3,98.2,1.5,0.3,0.0,0.0
2022-01,CAF001,100.0,0.0,42.9,18.4,38.8,0.0
2022-01,CMR001,100.0,83.2,1.3,7.7,7.7,0.0
2022-01,CMR002,12.0,61.4,0.0,29.5,9.1,0.0
2022-01,CMR003,17.3,45.3,33.3,19.7,1.7,0.0
2022-01,CMR004,6.0,79.8,0.0,20.2,0.0,0.0
2022-01,COD001,26.3,5.6,35.2,46.3,10.7,2.2
2022-01,COG001,100.0,78.6,0.0,21.4,0.0,0.0
2022-01,COL001,100.0,86.9,2.2,5.4,5.0,0.6
2022-01,COL002,43.8,73.5,7.9,18.6,0.0,0.0
2022-01,CRI002,33.3,95.0,2.5,2.5,0.0,0.0
2022-01,DJI001,100.0,39.6,38.0,19.7,2.6,0.0
2022-01,DJI002,100.0,96.6,0.0,3.4,0.0,0.0
2022-01,DJI003,100.0,43.0,38.0,16.3,2.6,0.0
2022-01,DZA002,100.0,,,,,
2022-01,DZA003,0.5,22.0,37.7,40.4,0.0,0.0
2022-01,DZA004,100.0,,,,,
2022-01,ECU002,36.6,88.5,3.8,7.6,0.0,0.0
2022-01,EGY002,23.2,93.8,4.0,0.7,1.5,0.0
2022-01,ERI001,100.0,20.0,0.0,80.0,0.0,0.0
2022-01,ESP002,25.5,99.0,0.0,1.0,0.0,0.0
2022-01,ETH001,100.0,0.0,77.3,0.9,16.5,5.2
2022-01,ETH003,100.0,82.9,16.3,0.8,0.0,0.0
2022-01,ETH004,29.4,0.0,69.2,22.6,6.9,1.3
2022-01,GRC002,3.8,59.2,36.5,4.3,0.0,0.0
2022-01,GTM001,100.0,66.7,11.1,19.3,1.0,1.9
2022-01,HND001,100.0,57.4,7.5,28.5,6.5,0.0
2022-01,HTI001,100.0,36.2,17.4,23.4,13.8,9.2
2022-01,HTI002,59.0,87.6,2.3,10.1,0.0,0.0
2022-01,IDN002,1.5,98.3,0.0,1.7,0.0,0.0
2022-01,IND002,0.9,100.0,,,,
2022-01,IRN004,29.9,86.3,0.0,3.2,10.5,0.0
2022-01,IRQ001,100.0,84.5,8.9,3.3,2.1,1.1
2022-01,IRQ002,100.0,85.1,8.9,3.1,1.8,1.1
2022-01,IRQ003,12.5,90.6,0.0,6.1,3.0,0.4
2022-01,ITA002,10.9,97.0,0.0,3.0,0.0,0.0
2022-01,JOR002,80.6,78.9,13.2,6.1,1.8,0.0
2022-01,KEN001,31.1,79.7,0.0,18.2,2.2,0.0
2022-01,KEN002,2.0,50.9,0.0,49.1,0.0,0.0
2022-01,KEN003,31.0,82.7,0.0,15.1,2.2,0.0
2022-01,LBN002,100.0,55.6,22.0,1.5,20.0,0.9
2022-01,LBN004,100.0,44.4,5.4,19.4,30.0,0.9
2022-01,LBY001,100.0,66.2,16.2,11.8,3.7,2.1
2022-01,LBY002,100.0,91.4,3.9,0.9,3.7,0.1
2022-01,LSO002,70.3,41.3,35.8,21.1,1.8,0.0
2022-01,MAR002,97.6,,,,,
2022-01,MDG001,67.0,79.8,10.6,7.8,1.8,0.0
2022-01,MDG002,23.5,44.1,30.1,20.5,5.3,0.0
2022-01,MDG006,43.5,99.1,0.3,0.6,0.0,0.0
2022-01,MEX001,100.0,99.7,0.3,,,
2022-01,MEX002,103.8,99.7,0.3,,,
2022-01,MEX003,100.0,99.7,0.3,,,
2022-01,MLI001,100.0,42.6,28.5,18.1,10.8,0.0
2022-01,MMR001,100.0,72.0,1.8,13.3,12.7,0.3
2022-01,MMR002,6.7,30.1,27.7,0.0,42.3,0.0
2022-01,MMR003,15.3,64.3,0.0,9.3,24.6,1.8
2022-01,MMR004,78.1,77.0,0.0,15.2,7.8,0.0
2022-01,MOZ001,70.7,48.9,44.0,7.0,0.1,0.0
2022-01,MOZ004,35.7,0.0,87.4,12.4,0.2,0.0
2022-01,MOZ008,56.1,99.1,0.0,0.9,0.0,0.0
2022-01,MRT002,2.3,11.6,0.0,89.5,0.0,0.0
2022-01,MRT003,100.0,63.2,24.9,11.4,0.0,0.0
2022-01,MWI002,100.0,71.7,19.3,9.0,0.0,0.0
2022-01,MWI004,88.9,97.6,2.0,0.5,0.0,0.0
2022-01,MYS001,12.5,95.3,0.0,4.7,0.0,0.0
2022-01,NAM002,100.4,37.8,32.8,24.8,4.7,0.0
2022-01,NER001,100.0,83.7,0.3,15.3,0.7,0.0
2022-01,NER002,4.0,69.1,0.1,28.7,2.1,0.0
2022-01,NER003,35.3,83.9,0.1,15.6,0.4,0.0
2022-01,NER004,5.6,47.0,0.0,49.8,3.2,0.0
2022-01,NGA001,38.3,76.8,5.7,14.0,3.5,0.0
2022-01,NGA003,7.7,93.7,0.0,6.3,0.0,0.0
2022-01,NGA004,6.5,0.0,33.6,45.8,20.6,0.0
2022-01,NGA007,17.7,89.7,0.0,10.3,0.0,0.0
2022-01,NGA008,6.3,99.5,0.0,0.5,0.0,0.0
2022-01,NIC001,100.0,,,,0.0,0.0
2022-01,PAK001,100.0,70.0,25.2,4.3,0.5,0.0
2022-01,PAK004,1.9,,,,,
2022-01,PER002,3.2,32.1,0.0,67.9,0.0,0.0
2022-01,PHL001,41.2,78.7,15.7,5.6,0.0,0.0
2022-01,PHL003,24.1,99.6,0.0,0.4,0.0,0.0
2022-01,PHL010,17.1,49.3,37.8,12.9,0.0,0.0
2022-01,PRK001,100.0,0.0,58.9,19.4,21.3,0.0
2022-01,PSE002,100.0,12.0,44.0,38.0,6.0,0.0
2022-01,REG001,7.2,31.4,22.0,24.1,21.9,0.6
2022-01,REG002,21.6,54.1,17.8,27.9,0.2,0.0
2022-01,REG003,1.1,,,,,
2022-01,REG004,42.1,61.0,19.3,3.4,14.6,1.7
2022-01,REG006,39.9,66.5,27.1,4.5,1.9,0.0
2022-01,REG007,,,,,,
2022-01,REG008,,,,,,
2022-02,AFG001,100.0,14.1,27.5,36.1,22.2,0.0
2022-02,AGO002,8.3,19.8,30.7,37.6,11.9,0.0
2022-02,ARM002,100.0,95.0,0.6,2.2,0.0,0.0
2022-02,AZE002,58.7,,,,,
2022-02,BDI001,100.0,0.0,81.0,10.1,8.2,0.8
2022-02,BFA002,16.7,2.3,56.8,27.9,5.0,8.1
2022-02,BGD002,1.0,0.0,2.5,97.5,0.0,0.0
2022-02,BRA001,25.6,97.5,1.6,0.9,0.0,0.0
2022-02,BRA002,0.3,41.7,10.6,47.8,0.0,0.0
2022-02,BRA003,25.3,98.2,1.6,0.2,0.0,0.0
2022-02,CAF001,100.0,0.0,42.9,18.4,38.8,0.0
2022-02,CHL002,57.5,94.4,1.2,4.4,0.0,0.0
2022-02,CMR001,100.0,83.2,1.3,7.7,7.7,0.0
2022-02,CMR002,12.0,61.4,0.0,29.5,9.1,0.0
2022-02,CMR003,17.3,45.3,33.3,19.7,1.7,0.0
2022-02,CMR004,6.0,79.8,0.0,20.2,0.0,0.0
2022-02,COD001,26.3,5.6,35.2,46.3,10.7,2.2
2022-02,COG001,100.0,78.6,0.0,21.4,0.0,0.0
2022-02,COL001,100.0,86.9,2.2,5.4,5.0,0.6
2022-02,COL002,43.8,73.5,7.9,18.6,0.0,0.0
2022-02,CRI002,33.3,95.0,2.5,2.5,0.0,0.0
2022-02,DJI001,100.0,39.6,38.0,19.7,2.6,0.0
2022-02,DJI002,100.0,96.6,0.0,3.4,0.0,0.0
2022-02,DJI003,100.0,43.0,38.0,16.3,2.6,0.0
2022-02,DOM002,100.0,98.8,0.3,0.9,0.0,0.0
2022-02,DZA002,100.0,,,,,
2022-02,DZA003,0.5,22.0,37.7,40.4,0.0,0.0
2022-02,DZA004,100.0,,,,,
2022-02,ECU002,51.1,86.7,1.8,11.5,0.0,0.0
2022-02,EGY002,23.2,93.8,4.0,0.7,1.5,0.0
2022-02,ERI001,100.0,20.0,0.0,80.0,0.0,0.0
2022-02,ESP002,25.5,99.0,0.0,1.0,0.0,0.0
2022-02,ETH001,100.0,0.0,77.3,0.9,16.5,5.2
2022-02,ETH003,100.0,82.9,16.3,0.8,0.0,0.0
2022-02,ETH004,29.4,0.0,69.2,22.6,6.9,1.3
2022-02,ETH005,60.3,89.8,9.8,0.5,0.0,0.0
2022-02,GRC002,3.8,59.2,36.5,4.3,0.0,0.0
2022-02,GTM001,100.0,66.7,11.1,19.3,1.0,1.9
2022-02,HND001,100.0,57.4,7.5,28.5,6.5,0.0
2022-02,HTI001,100.0,36.2,17.4,23.4,13.8,9.2
2022-02,HTI002,59.0,87.6,2.3,10.1,0.0,0.0
2022-02,HUN002,1.9,62.0,38.0,0.0,0.0,0.0
2022-02,IDN002,1.5,98.3,0.0,1.7,0.0,0.0
2022-02,IND002,0.9,100.0,,,,
2022-02,IRN004,29.9,86.3,0.0,3.2,10.5,0.0
2022-02,IRQ001,100.0,84.5,8.9,3.3,2.1,1.1
2022-02,IRQ002,100.0,85.1,8.9,3.1,1.8,1.1
2022-02,IRQ003,12.5,90.6,0.0,6.1,3.0,0.4
2022-02,ITA002,10.9,97.0,0.0,3.0,0.0,0.0
2022-02,JOR002,80.6,78.9,13.2,6.1,1.8,0.0
2022-02,KEN001,31.1,79.7,0.0,18.2,2.2,0.0
2022-02,KEN002,2.0,50.9,0.0,49.1,0.0,0.0
2022-02,KEN003,31.0,82.7,0.0,15.1,2.2,0.0
2022-02,LBN002,100.0,55.6,22.0,11.2,10.5,0.7
2022-02,LBN004,100.0,44.4,5.4,29.6,20.0,0.7
2022-02,LBY001,100.0,81.7,8.5,9.7,0.1,0.0
2022-02,LBY002,100.0,85.6,2.9,3.3,0.0,0.0
2022-02,LSO002,70.3,41.3,35.8,21.1,1.8,0.0
2022-02,MAR002,97.6,,,,,
2022-02,MDG001,100.0,85.3,8.3,5.1,1.2,0.0
2022-02,MDG002,23.5,44.1,30.1,20.5,5.3,0.0
2022-02,MDG006,100.0,98.5,1.2,0.3,0.0,0.0
2022-02,MEX001,100.0,99.7,0.3,,,
2022-02,MEX002,103.8,99.7,0.3,,,
2022-02,MEX003,104.4,99.4,0.6,0.0,0.0,0.0
2022-02,MLI001,100.0,42.6,28.5,18.1,10.8,0.0
2022-02,MMR001,100.0,72.0,1.8,13.3,12.7,0.3
2022-02,MMR002,6.7,30.1,27.7,0.0,42.3,0.0
2022-02,MMR003,15.3,64.3,0.0,9.3,24.6,1.8
2022-02,MMR004,78.1,77.0,0.0,15.2,7.8,0.0
2022-02,MOZ001,70.7,48.7,44.0,7.2,0.1,0.0
2022-02,MOZ004,35.7,0.0,87.4,12.4,0.2,0.0
2022-02,MOZ008,56.1,98.9,0.0,1.1,0.0,0.0
2022-02,MRT002,2.3,11.6,0.0,89.5,0.0,0.0
2022-02,MRT003,100.0,63.2,24.9,11.4,0.0,0.0
2022-02,MWI002,100.0,68.9,21.5,9.6,0.0,0.0
2022-02,MWI004,88.9,97.6,2.0,0.5,0.0,0.0
2022-02,MYS001,12.5,95.3,0.0,4.7,0.0,0.0
2022-02,NAM002,100.4,37.8,32.8,24.8,4.7,0.0
